Row_Index,Column,Original_Value,New_Value
50,Enacted_Date,02/03/2006,2006-03-02
50,Effective_Date,02/03/2007,2007-03-02
51,Enacted_Date,02/03/2006,2006-03-02
51,Effective_Date,02/03/2007,2007-03-02
52,Enacted_Date,18/05/2009,2009-05-18
52,Effective_Date,05/07/2010,2010-07-05
53,Enacted_Date,02/03/2006,2006-03-02
53,Effective_Date,02/03/2007,2007-03-02
54,Enacted_Date,29/09/2009,2009-09-29
54,Effective_Date,29/09/2009,2009-09-29
55,Enacted_Date,10/05/2010,2010-05-10
55,Effective_Date,10/05/2010,2010-05-10
56,Enacted_Date,02/03/2006,2006-03-02
56,Effective_Date,02/03/2007,2007-03-02
57,Enacted_Date,12/03/2010,2010-03-12
57,Effective_Date,01/07/2010,2010-07-01
58,Enacted_Date,02/03/2006,2006-03-02
58,Effective_Date,02/03/2007,2007-03-02
59,Enacted_Date,02/03/2006,2006-03-02
59,Effective_Date,02/03/2007,2007-03-02
60,Enacted_Date,03/08/1993,1993-08-03
60,Effective_Date,30/01/1994,1994-01-30
61,Enacted_Date,02/03/2006,2006-03-02
61,Effective_Date,02/03/2007,2007-03-02
62,Enacted_Date,03/08/1993,1993-08-03
62,Effective_Date,30/01/1994,1994-01-30
63,Enacted_Date,02/03/2006,2006-03-02
63,Effective_Date,02/03/2007,2007-03-02
64,Enacted_Date,19/06/1985,1985-06-19
64,Effective_Date,01/10/1985,1985-10-01
65,Enacted_Date,02/11/2010,2010-11-02
65,Effective_Date,10/11/2010,2010-11-10
66,Enacted_Date,10/04/2008,2008-04-10
66,Effective_Date,01/09/2008,2008-09-01
67,Enacted_Date,30/06/2006,2006-06-30
67,Effective_Date,01/01/2007,2007-01-01
68,Enacted_Date,07/11/2006,2006-11-07
68,Effective_Date,07/12/2006,2006-12-07
69,Enacted_Date,10/05/2010,2010-05-10
69,Effective_Date,10/05/2010,2010-05-10
70,Enacted_Date,15/01/2006,2006-01-15
70,Effective_Date,15/04/2006,2006-04-15
71,Enacted_Date,02/03/2006,2006-03-02
71,Effective_Date,02/03/2007,2007-03-02
72,Enacted_Date,11/06/1992,1992-06-11
72,Effective_Date,13/08/1992,1992-08-13
73,Enacted_Date,03/08/1993,1993-08-03
73,Effective_Date,30/01/1994,1994-01-30
74,Enacted_Date,03/08/1993,1993-08-03
74,Effective_Date,30/01/1994,1994-01-30
75,Enacted_Date,03/08/1993,1993-08-03
75,Effective_Date,30/01/1994,1994-01-30
76,Enacted_Date,29/09/2003,2003-09-29
76,Effective_Date,03/12/2003,2003-12-03
77,Enacted_Date,02/03/2006,2006-03-02
77,Effective_Date,02/03/2007,2007-03-02
78,Enacted_Date,08/04/2013,2013-04-08
78,Effective_Date,07/07/2013,2013-07-07
79,Enacted_Date,02/03/2006,2006-03-02
79,Effective_Date,02/03/2007,2007-03-02
80,Enacted_Date,02/03/2006,2006-03-02
80,Effective_Date,02/03/2007,2007-03-02
81,Enacted_Date,03/08/1993,1993-08-03
81,Effective_Date,30/01/1994,1994-01-30
82,Enacted_Date,08/11/2005,2005-11-08
82,Effective_Date,08/12/2005,2005-12-08
83,Enacted_Date,02/03/2006,2006-03-02
83,Effective_Date,02/03/2007,2007-03-02
84,Enacted_Date,02/03/2006,2006-03-02
84,Effective_Date,02/03/2007,2007-03-02
85,Enacted_Date,03/08/1993,1993-08-03
85,Effective_Date,30/01/1994,1994-01-30
86,Enacted_Date,29/09/2003,2003-09-29
86,Effective_Date,03/12/2003,2003-12-03
87,Enacted_Date,03/08/1993,1993-08-03
87,Effective_Date,30/01/1994,1994-01-30
88,Enacted_Date,02/03/2006,2006-03-02
88,Effective_Date,02/03/2007,2007-03-02
89,Enacted_Date,13/03/2007,2007-03-13
89,Effective_Date,15/06/2007,2007-06-15
90,Enacted_Date,29/09/2009,2009-09-29
90,Effective_Date,29/09/2009,2009-09-29
91,Enacted_Date,15/01/2006,2006-01-15
91,Effective_Date,15/04/2006,2006-04-15
92,Enacted_Date,02/03/2006,2006-03-02
92,Effective_Date,02/03/2007,2007-03-02
93,Enacted_Date,02/03/2006,2006-03-02
93,Effective_Date,02/03/2007,2007-03-02
94,Enacted_Date,03/08/1993,1993-08-03
94,Effective_Date,30/01/1994,1994-01-30
95,Enacted_Date,02/03/2006,2006-03-02
95,Effective_Date,02/03/2007,2007-03-02
96,Enacted_Date,02/03/2006,2006-03-02
96,Effective_Date,02/03/2007,2007-03-02
97,Enacted_Date,02/03/2006,2006-03-02
97,Effective_Date,02/03/2007,2007-03-02
98,Enacted_Date,25/04/2005,2005-04-25
98,Effective_Date,01/08/2005,2005-08-01
99,Enacted_Date,02/03/2006,2006-03-02
99,Effective_Date,02/03/2007,2007-03-02
100,Enacted_Date,02/03/2006,2006-03-02
100,Effective_Date,02/03/2007,2007-03-02
101,Enacted_Date,02/03/2006,2006-03-02
101,Effective_Date,02/03/2007,2007-03-02
102,Enacted_Date,02/03/2006,2006-03-02
102,Effective_Date,02/03/2007,2007-03-02
103,Enacted_Date,15/04/2005,2005-04-15
103,Effective_Date,01/10/2005,2005-10-01
104,Enacted_Date,19/03/2012,2012-03-19
104,Effective_Date,01/07/2012,2012-07-01
105,Enacted_Date,02/03/2006,2006-03-02
105,Effective_Date,02/03/2007,2007-03-02
106,Enacted_Date,02/03/2006,2006-03-02
106,Effective_Date,02/03/2007,2007-03-02
107,Enacted_Date,02/03/2006,2006-03-02
107,Effective_Date,02/03/2007,2007-03-02
108,Enacted_Date,11/06/1992,1992-06-11
108,Effective_Date,31/12/1992,1992-12-31
109,Enacted_Date,02/03/2006,2006-03-02
109,Effective_Date,02/03/2007,2007-03-02
110,Enacted_Date,15/04/2008,2008-04-15
110,Effective_Date,01/07/2008,2008-07-01
111,Enacted_Date,08/11/2005,2005-11-08
111,Effective_Date,08/12/2005,2005-12-08
112,Enacted_Date,07/04/2006,2006-04-07
112,Effective_Date,21/07/2006,2006-07-21
113,Enacted_Date,24/06/2003,2003-06-24
113,Effective_Date,01/01/2004,2004-01-01
114,Enacted_Date,19/06/2003,2003-06-19
114,Effective_Date,01/09/2003,2003-09-01
115,Enacted_Date,02/03/2006,2006-03-02
115,Effective_Date,02/03/2007,2007-03-02
116,Enacted_Date,02/03/2006,2006-03-02
116,Effective_Date,02/03/2007,2007-03-02
117,Enacted_Date,21/10/2010,2010-10-21
117,Effective_Date,19/01/2011,2011-01-19
118,Enacted_Date,10/05/2010,2010-05-10
118,Effective_Date,10/05/2010,2010-05-10
119,Enacted_Date,02/03/2006,2006-03-02
119,Effective_Date,02/03/2007,2007-03-02
120,Enacted_Date,02/03/2006,2006-03-02
120,Effective_Date,02/03/2007,2007-03-02
121,Enacted_Date,02/03/2006,2006-03-02
121,Effective_Date,02/03/2007,2007-03-02
122,Enacted_Date,02/03/2006,2006-03-02
122,Effective_Date,02/03/2007,2007-03-02
123,Enacted_Date,28/05/1993,1993-05-28
123,Effective_Date,01/07/1993,1993-07-01
124,Enacted_Date,02/03/2006,2006-03-02
124,Effective_Date,02/03/2007,2007-03-02
125,Enacted_Date,02/03/2006,2006-03-02
125,Effective_Date,02/03/2007,2007-03-02
126,Enacted_Date,02/03/2006,2006-03-02
126,Effective_Date,02/03/2007,2007-03-02
127,Enacted_Date,02/03/2006,2006-03-02
127,Effective_Date,02/03/2007,2007-03-02
128,Enacted_Date,02/03/2006,2006-03-02
128,Effective_Date,02/03/2007,2007-03-02
129,Enacted_Date,03/08/1993,1993-08-03
129,Effective_Date,30/01/1994,1994-01-30
130,Enacted_Date,02/03/2006,2006-03-02
130,Effective_Date,02/03/2007,2007-03-02
131,Enacted_Date,02/03/2006,2006-03-02
131,Effective_Date,02/03/2007,2007-03-02
132,Enacted_Date,02/03/2006,2006-03-02
132,Effective_Date,02/03/2007,2007-03-02
133,Enacted_Date,09/03/2009,2009-03-09
133,Effective_Date,01/12/2009,2009-12-01
134,Enacted_Date,02/03/2006,2006-03-02
134,Effective_Date,02/03/2007,2007-03-02
135,Enacted_Date,02/03/2006,2006-03-02
135,Effective_Date,02/03/2007,2007-03-02
136,Enacted_Date,29/06/2004,2004-06-29
136,Effective_Date,01/03/2005,2005-03-01
137,Enacted_Date,02/03/2006,2006-03-02
137,Effective_Date,02/03/2007,2007-03-02
138,Enacted_Date,07/11/2006,2006-11-07
138,Effective_Date,01/05/2007,2007-05-01
139,Enacted_Date,03/08/1993,1993-08-03
139,Effective_Date,30/01/1994,1994-01-30
140,Enacted_Date,10/09/2010,2010-09-10
140,Effective_Date,01/07/2011,2011-07-01
141,Enacted_Date,10/05/2010,2010-05-10
141,Effective_Date,10/05/2010,2010-05-10
142,Enacted_Date,02/03/2006,2006-03-02
142,Effective_Date,02/03/2007,2007-03-02
143,Enacted_Date,03/08/1993,1993-08-03
143,Effective_Date,30/01/1994,1994-01-30
144,Enacted_Date,02/03/2006,2006-03-02
144,Effective_Date,02/03/2007,2007-03-02
145,Enacted_Date,03/08/1993,1993-08-03
145,Effective_Date,30/01/1994,1994-01-30
146,Enacted_Date,02/03/2006,2006-03-02
146,Effective_Date,02/03/2007,2007-03-02
147,Enacted_Date,02/03/2006,2006-03-02
147,Effective_Date,02/03/2007,2007-03-02
148,Enacted_Date,19/08/2011,2011-08-19
148,Effective_Date,15/02/2012,2012-02-15
149,Enacted_Date,02/03/2006,2006-03-02
149,Effective_Date,02/03/2007,2007-03-02
150,Enacted_Date,19/08/2011,2011-08-19
150,Effective_Date,15/02/2012,2012-02-15
151,Enacted_Date,02/03/2006,2006-03-02
151,Effective_Date,02/03/2007,2007-03-02
152,Enacted_Date,02/03/2006,2006-03-02
152,Effective_Date,02/03/2007,2007-03-02
153,Enacted_Date,02/03/2006,2006-03-02
153,Effective_Date,02/03/2007,2007-03-02
154,Enacted_Date,03/08/1993,1993-08-03
154,Effective_Date,30/01/1994,1994-01-30
155,Enacted_Date,07/11/2006,2006-11-07
155,Effective_Date,01/05/2007,2007-05-01
156,Enacted_Date,02/03/2006,2006-03-02
156,Effective_Date,02/03/2007,2007-03-02
157,Enacted_Date,02/03/2006,2006-03-02
157,Effective_Date,02/03/2007,2007-03-02
158,Enacted_Date,18/12/2009,2009-12-18
158,Effective_Date,01/05/2010,2010-05-01
159,Enacted_Date,02/04/2004,2004-04-02
159,Effective_Date,01/07/2004,2004-07-01
160,Enacted_Date,10/07/2006,2006-07-10
160,Effective_Date,16/11/2006,2006-11-16
161,Enacted_Date,02/03/2006,2006-03-02
161,Effective_Date,02/03/2007,2007-03-02
162,Enacted_Date,02/03/2006,2006-03-02
162,Effective_Date,02/03/2007,2007-03-02
163,Enacted_Date,03/08/1993,1993-08-03
163,Effective_Date,30/01/1994,1994-01-30
164,Enacted_Date,31/01/2006,2006-01-31
164,Effective_Date,04/04/2006,2006-04-04
165,Enacted_Date,07/11/2006,2006-11-07
165,Effective_Date,07/12/2006,2006-12-07
166,Enacted_Date,07/04/2006,2006-04-07
166,Effective_Date,21/07/2006,2006-07-21
167,Enacted_Date,23/07/2007,2007-07-23
167,Effective_Date,01/01/2008,2008-01-01
168,Enacted_Date,02/11/2010,2010-11-02
168,Effective_Date,10/11/2010,2010-11-10
169,Enacted_Date,03/08/1993,1993-08-03
169,Effective_Date,30/01/1994,1994-01-30
170,Enacted_Date,05/11/2012,2012-11-05
170,Effective_Date,05/12/2012,2012-12-05
171,Enacted_Date,02/03/2006,2006-03-02
171,Effective_Date,02/03/2007,2007-03-02
172,Enacted_Date,02/03/2006,2006-03-02
172,Effective_Date,02/03/2007,2007-03-02
173,Enacted_Date,02/03/2006,2006-03-02
173,Effective_Date,02/03/2007,2007-03-02
174,Enacted_Date,02/03/2006,2006-03-02
174,Effective_Date,02/03/2007,2007-03-02
175,Enacted_Date,02/03/2006,2006-03-02
175,Effective_Date,02/03/2007,2007-03-02
176,Enacted_Date,19/06/2003,2003-06-19
176,Effective_Date,01/09/2003,2003-09-01
177,Enacted_Date,02/03/2006,2006-03-02
177,Effective_Date,02/03/2007,2007-03-02
178,Enacted_Date,02/03/2006,2006-03-02
178,Effective_Date,02/03/2007,2007-03-02
179,Enacted_Date,23/07/2007,2007-07-23
179,Effective_Date,01/01/2008,2008-01-01
180,Enacted_Date,28/08/1997,1997-08-28
180,Effective_Date,26/11/1997,1997-11-26
181,Enacted_Date,03/08/1993,1993-08-03
181,Effective_Date,30/01/1994,1994-01-30
182,Enacted_Date,03/08/1993,1993-08-03
182,Effective_Date,30/01/1994,1994-01-30
183,Enacted_Date,19/03/2012,2012-03-19
183,Effective_Date,01/07/2012,2012-07-01
184,Enacted_Date,02/03/2006,2006-03-02
184,Effective_Date,02/03/2007,2007-03-02
185,Enacted_Date,02/03/2006,2006-03-02
185,Effective_Date,02/03/2007,2007-03-02
186,Enacted_Date,02/03/2006,2006-03-02
186,Effective_Date,02/03/2007,2007-03-02
187,Enacted_Date,02/03/2006,2006-03-02
187,Effective_Date,02/03/2007,2007-03-02
188,Enacted_Date,30/05/1990,1990-05-30
188,Effective_Date,01/08/1990,1990-08-01
189,Enacted_Date,15/04/2008,2008-04-15
189,Effective_Date,01/07/2008,2008-07-01
190,Enacted_Date,03/08/1993,1993-08-03
190,Effective_Date,30/01/1994,1994-01-30
191,Enacted_Date,03/08/1993,1993-08-03
191,Effective_Date,30/01/1994,1994-01-30
192,Enacted_Date,02/03/2006,2006-03-02
192,Effective_Date,02/03/2007,2007-03-02
193,Enacted_Date,21/10/2010,2010-10-21
193,Effective_Date,19/01/2011,2011-01-19
194,Enacted_Date,02/03/2006,2006-03-02
194,Effective_Date,02/03/2007,2007-03-02
195,Enacted_Date,11/06/2013,2013-06-11
195,Effective_Date,01/01/2014,2014-01-01
196,Enacted_Date,02/03/2006,2006-03-02
196,Effective_Date,02/03/2007,2007-03-02
197,Enacted_Date,02/03/2006,2006-03-02
197,Effective_Date,02/03/2007,2007-03-02
198,Enacted_Date,02/03/2006,2006-03-02
198,Effective_Date,02/03/2007,2007-03-02
199,Enacted_Date,02/03/2006,2006-03-02
199,Effective_Date,02/03/2007,2007-03-02
200,Enacted_Date,10/07/2006,2006-07-10
200,Effective_Date,16/11/2006,2006-11-16
201,Enacted_Date,10/05/2010,2010-05-10
201,Effective_Date,10/05/2010,2010-05-10
202,Enacted_Date,10/05/2010,2010-05-10
202,Effective_Date,10/05/2010,2010-05-10
203,Enacted_Date,23/07/2007,2007-07-23
203,Effective_Date,01/01/2008,2008-01-01
204,Enacted_Date,02/03/2006,2006-03-02
204,Effective_Date,02/03/2007,2007-03-02
205,Enacted_Date,02/03/2006,2006-03-02
205,Effective_Date,02/03/2007,2007-03-02
206,Enacted_Date,02/03/2006,2006-03-02
206,Effective_Date,02/03/2007,2007-03-02
207,Enacted_Date,02/11/2010,2010-11-02
207,Effective_Date,10/11/2010,2010-11-10
208,Enacted_Date,02/03/2006,2006-03-02
208,Effective_Date,02/03/2007,2007-03-02
209,Enacted_Date,02/03/2006,2006-03-02
209,Effective_Date,02/03/2007,2007-03-02
210,Enacted_Date,24/06/2003,2003-06-24
210,Effective_Date,01/01/2004,2004-01-01
211,Enacted_Date,03/08/1993,1993-08-03
211,Effective_Date,30/01/1994,1994-01-30
212,Enacted_Date,02/03/2006,2006-03-02
212,Effective_Date,02/03/2007,2007-03-02
213,Enacted_Date,02/03/2006,2006-03-02
213,Effective_Date,02/03/2007,2007-03-02
214,Enacted_Date,02/03/2006,2006-03-02
214,Effective_Date,02/03/2007,2007-03-02
215,Enacted_Date,03/08/1993,1993-08-03
215,Effective_Date,30/01/1994,1994-01-30
216,Enacted_Date,02/03/2006,2006-03-02
216,Effective_Date,02/03/2007,2007-03-02
217,Enacted_Date,02/03/2006,2006-03-02
217,Effective_Date,02/03/2007,2007-03-02
218,Enacted_Date,16/05/2007,2007-05-16
218,Effective_Date,01/10/2007,2007-10-01
219,Enacted_Date,02/03/2006,2006-03-02
219,Effective_Date,02/03/2007,2007-03-02
220,Enacted_Date,23/07/2007,2007-07-23
220,Effective_Date,01/01/2008,2008-01-01
221,Enacted_Date,18/05/2009,2009-05-18
221,Effective_Date,05/07/2010,2010-07-05
222,Enacted_Date,02/03/2006,2006-03-02
222,Effective_Date,02/03/2007,2007-03-02
223,Enacted_Date,18/04/2005,2005-04-18
223,Effective_Date,01/10/2005,2005-10-01
224,Enacted_Date,03/08/1993,1993-08-03
224,Effective_Date,30/01/1994,1994-01-30
225,Enacted_Date,25/04/2005,2005-04-25
225,Effective_Date,01/08/2005,2005-08-01
226,Enacted_Date,02/03/2006,2006-03-02
226,Effective_Date,02/03/2007,2007-03-02
227,Enacted_Date,02/03/2006,2006-03-02
227,Effective_Date,02/03/2007,2007-03-02
228,Enacted_Date,02/03/2006,2006-03-02
228,Effective_Date,02/03/2007,2007-03-02
229,Enacted_Date,02/03/2006,2006-03-02
229,Effective_Date,02/03/2007,2007-03-02
230,Enacted_Date,02/03/2006,2006-03-02
230,Effective_Date,02/03/2007,2007-03-02
231,Enacted_Date,02/03/2006,2006-03-02
231,Effective_Date,02/03/2007,2007-03-02
232,Enacted_Date,29/09/2003,2003-09-29
232,Effective_Date,03/12/2003,2003-12-03
233,Enacted_Date,02/03/2006,2006-03-02
233,Effective_Date,02/03/2007,2007-03-02
234,Enacted_Date,02/03/2006,2006-03-02
234,Effective_Date,02/03/2007,2007-03-02
235,Enacted_Date,02/03/2006,2006-03-02
235,Effective_Date,02/03/2007,2007-03-02
236,Enacted_Date,02/03/2006,2006-03-02
236,Effective_Date,02/03/2007,2007-03-02
237,Enacted_Date,03/08/1993,1993-08-03
237,Effective_Date,30/01/1994,1994-01-30
238,Enacted_Date,02/03/2006,2006-03-02
238,Effective_Date,02/03/2007,2007-03-02
239,Enacted_Date,02/03/2006,2006-03-02
239,Effective_Date,02/03/2007,2007-03-02
240,Enacted_Date,23/05/2003,2003-05-23
240,Effective_Date,01/04/2004,2004-04-01
241,Enacted_Date,07/11/2006,2006-11-07
241,Effective_Date,01/05/2007,2007-05-01
242,Enacted_Date,02/03/2006,2006-03-02
242,Effective_Date,02/03/2007,2007-03-02
243,Enacted_Date,11/06/1992,1992-06-11
243,Effective_Date,31/12/1992,1992-12-31
244,Enacted_Date,02/03/2006,2006-03-02
244,Effective_Date,02/03/2007,2007-03-02
245,Enacted_Date,02/03/2006,2006-03-02
245,Effective_Date,02/03/2007,2007-03-02
246,Enacted_Date,02/03/2006,2006-03-02
246,Effective_Date,02/03/2007,2007-03-02
247,Enacted_Date,02/03/2006,2006-03-02
247,Effective_Date,02/03/2007,2007-03-02
248,Enacted_Date,02/03/2006,2006-03-02
248,Effective_Date,02/03/2007,2007-03-02
249,Enacted_Date,12/03/2010,2010-03-12
249,Effective_Date,01/07/2010,2010-07-01
250,Enacted_Date,02/03/2006,2006-03-02
250,Effective_Date,02/03/2007,2007-03-02
251,Enacted_Date,02/03/2006,2006-03-02
251,Effective_Date,02/03/2007,2007-03-02
252,Enacted_Date,02/03/2006,2006-03-02
252,Effective_Date,02/03/2007,2007-03-02
253,Enacted_Date,30/06/2006,2006-06-30
253,Effective_Date,01/01/2007,2007-01-01
254,Enacted_Date,02/03/2006,2006-03-02
254,Effective_Date,02/03/2007,2007-03-02
255,Enacted_Date,03/08/1993,1993-08-03
255,Effective_Date,30/01/1994,1994-01-30
256,Enacted_Date,03/08/1993,1993-08-03
256,Effective_Date,30/01/1994,1994-01-30
257,Enacted_Date,29/09/2003,2003-09-29
257,Effective_Date,03/12/2003,2003-12-03
258,Enacted_Date,02/03/2006,2006-03-02
258,Effective_Date,02/03/2007,2007-03-02
259,Enacted_Date,03/08/1993,1993-08-03
259,Effective_Date,30/01/1994,1994-01-30
260,Enacted_Date,09/12/2005,2005-12-09
260,Effective_Date,08/05/2006,2006-05-08
261,Enacted_Date,02/03/2006,2006-03-02
261,Effective_Date,02/03/2007,2007-03-02
262,Enacted_Date,02/03/2006,2006-03-02
262,Effective_Date,02/03/2007,2007-03-02
263,Enacted_Date,03/08/1993,1993-08-03
263,Effective_Date,30/01/1994,1994-01-30
264,Enacted_Date,27/04/1990,1990-04-27
264,Effective_Date,01/01/1991,1991-01-01
265,Enacted_Date,16/05/2007,2007-05-16
265,Effective_Date,01/10/2007,2007-10-01
266,Enacted_Date,02/03/2006,2006-03-02
266,Effective_Date,02/03/2007,2007-03-02
267,Enacted_Date,02/08/2008,2008-08-02
267,Effective_Date,01/01/2009,2009-01-01
268,Enacted_Date,03/08/1993,1993-08-03
268,Effective_Date,30/01/1994,1994-01-30
269,Enacted_Date,23/06/2003,2003-06-23
269,Effective_Date,01/07/2003,2003-07-01
270,Enacted_Date,02/03/2006,2006-03-02
270,Effective_Date,02/03/2007,2007-03-02
271,Enacted_Date,02/03/2006,2006-03-02
271,Effective_Date,02/03/2007,2007-03-02
272,Enacted_Date,02/03/2006,2006-03-02
272,Effective_Date,02/03/2007,2007-03-02
273,Enacted_Date,15/04/2008,2008-04-15
273,Effective_Date,01/07/2008,2008-07-01
274,Enacted_Date,23/06/2003,2003-06-23
274,Effective_Date,01/07/2003,2003-07-01
275,Enacted_Date,02/03/2006,2006-03-02
275,Effective_Date,02/03/2007,2007-03-02
276,Enacted_Date,03/08/1993,1993-08-03
276,Effective_Date,30/01/1994,1994-01-30
277,Enacted_Date,10/05/2010,2010-05-10
277,Effective_Date,10/11/2010,2010-11-10
278,Enacted_Date,03/08/1993,1993-08-03
278,Effective_Date,30/01/1994,1994-01-30
279,Enacted_Date,17/07/2018,2018-07-17
279,Effective_Date,01/10/2018,2018-10-01
280,Enacted_Date,15/01/2006,2006-01-15
280,Effective_Date,15/04/2006,2006-04-15
281,Enacted_Date,11/06/1992,1992-06-11
281,Effective_Date,09/09/1992,1992-09-09
282,Enacted_Date,02/03/2006,2006-03-02
282,Effective_Date,02/03/2007,2007-03-02
283,Enacted_Date,02/03/2006,2006-03-02
283,Effective_Date,02/03/2007,2007-03-02
284,Enacted_Date,26/05/2003,2003-05-26
284,Effective_Date,24/07/2003,2003-07-24
285,Enacted_Date,09/05/2009,2009-05-09
285,Effective_Date,01/07/2009,2009-07-01
286,Enacted_Date,22/03/1994,1994-03-22
286,Effective_Date,01/01/1995,1995-01-01
287,Enacted_Date,25/05/2005,2005-05-25
287,Effective_Date,01/08/2005,2005-08-01
288,Enacted_Date,19/05/2009,2009-05-19
288,Effective_Date,02/01/2010,2010-01-02
289,Enacted_Date,02/03/2006,2006-03-02
289,Effective_Date,02/03/2007,2007-03-02
290,Enacted_Date,02/03/2006,2006-03-02
290,Effective_Date,02/03/2007,2007-03-02
291,Enacted_Date,02/03/2006,2006-03-02
291,Effective_Date,02/03/2007,2007-03-02
292,Enacted_Date,29/09/2009,2009-09-29
292,Effective_Date,29/09/2009,2009-09-29
293,Enacted_Date,02/03/2006,2006-03-02
293,Effective_Date,02/03/2007,2007-03-02
294,Enacted_Date,03/08/1993,1993-08-03
294,Effective_Date,30/01/1994,1994-01-30
295,Enacted_Date,02/03/2006,2006-03-02
295,Effective_Date,02/03/2007,2007-03-02
296,Enacted_Date,03/08/1993,1993-08-03
296,Effective_Date,30/01/1994,1994-01-30
